代號,名稱,年/月,平均售貨天數
3092,鴻碩,2024/06,123.93
3093,港建*,2024/06,57.99
3094,聯傑,2024/06,209.14
3095,及成,2024/06,50.85
3097,拍檔,2024/06,115.96
3105,穩懋,2024/06,133.42
3114,好德,2024/06,40.11
3115,富榮綱,2024/06,89.35
3117,年程,2024/06,95.42
3118,進階,2024/06,68.94
3122,笙泉,2024/06,120.37
3128,昇銳,2024/06,138.43
3130,一零四,2024/06,0
3131,弘塑,2024/06,310.02
3135,凌航,2024/06,69.67
3138,耀登,2024/06,107.87
3141,晶宏,2024/06,322.38
3147,大綜,2024/06,25.58
3149,正達,2024/06,29.72
3150,鈺寶-創,2024/06,147.4
3152,璟德,2024/06,72.1
3158,嘉實,2024/06,0
3162,精確,2024/06,65.25
3163,波若威,2024/06,53.33
3164,景岳,2024/06,227.59
3167,大量,2024/06,247.99
3168,眾福科,2024/06,82.3
3169,亞信,2024/06,89.15
3171,新洲,2024/06,22.06
3176,基亞,2024/06,441.27
3178,公準,2024/06,130.95
3184,微邦,2024/06,112.83
3188,鑫龍騰,2024/06,"2,247.38"
3189,景碩,2024/06,49.99
3191,雲嘉南,2024/06,96.08
3202,樺晟,2024/06,80.19
3205,佰研,2024/06,29.21
3206,志豐,2024/06,38.89
3207,耀勝,2024/06,59.3
3209,全科,2024/06,90.97
3211,順達,2024/06,40.18
3213,茂訊,2024/06,221.29
3217,優群,2024/06,118.69
3218,大學光,2024/06,63.84
3219,倚強科,2024/06,136.88
3221,台嘉碩,2024/06,85.26
3224,三顧,2024/06,19.75
3226,至寶電,2024/06,36.56
3227,原相,2024/06,91.86
3228,金麗科,2024/06,494.59
3229,晟鈦,2024/06,90.36
3230,錦明,2024/06,39.7
3231,緯創,2024/06,59.16
3232,昱捷,2024/06,44.99
3234,光環,2024/06,185.96
3236,千如,2024/06,66
3252,海灣,2024/06,345.62
3257,虹冠電,2024/06,298.54
3259,鑫創,2024/06,404.94
3260,威剛,2024/06,193.05
3264,欣銓,2024/06,0
3265,台星科,2024/06,12.56
3266,昇陽,2024/06,"1,749.41"
3268,海德威,2024/06,9.91
3272,東碩,2024/06,109.32
3276,宇環,2024/06,29.63
3284,太普高,2024/06,274.92
3285,微端,2024/06,61.56
3287,廣寰科,2024/06,139.75
3288,點晶,2024/06,"1,446.08"
3289,宜特,2024/06,0
3290,東浦,2024/06,65.32
3293,鈊象,2024/06,75.36
3294,英濟,2024/06,42.21
3296,勝德,2024/06,64.53
3297,杭特,2024/06,130.98
3303,岱稜,2024/06,101.73
3305,昇貿,2024/06,85.03
3306,鼎天,2024/06,44.45
3308,聯德,2024/06,873.15
3310,佳穎,2024/06,"1,336.94"
3311,閎暉,2024/06,52.58
3312,弘憶股,2024/06,26.21
3313,斐成,2024/06,"5,343.74"
3317,尼克森,2024/06,155.46
3321,同泰,2024/06,48.25
3322,建舜電,2024/06,70.11
3323,加百裕,2024/06,65.6
3324,雙鴻,2024/06,82.86
3325,旭品,2024/06,73.96
3332,幸康,2024/06,194.2
3338,泰碩,2024/06,42.02
3339,泰谷,2024/06,89.89
3342,飛虹科,2024/06,148.52
3346,麗清,2024/06,106.81
3349,寶德,2024/06,46.62
3354,律勝,2024/06,43.48
3356,奇偶,2024/06,266.93
3357,臺慶科,2024/06,75.81
3360,尚立,2024/06,22.84
3362,先進光,2024/06,113.89
3363,上詮,2024/06,84.8
3369,鐵研,2024/06,139.41
3372,典範,2024/06,58.79
3373,熱映,2024/06,538.25
3374,精材,2024/06,17.64
3376,新日興,2024/06,65.48
3379,彬台,2024/06,107.65
3380,明泰,2024/06,146.48
3388,崇越電,2024/06,48.18
3390,旭軟,2024/06,53.44
3402,漢科,2024/06,83.81
3406,玉晶光,2024/06,65.17
3413,京鼎,2024/06,97.78
3416,融程電,2024/06,108.04
3419,譁裕,2024/06,54.37
3426,台興,2024/06,41.35
3430,奇鈦科,2024/06,155.09
3432,台端,2024/06,5.49
3434,哲固,2024/06,88.3
3437,榮創,2024/06,40.33
3438,類比科,2024/06,82.94
3441,聯一光,2024/06,303.76
3443,創意,2024/06,95.54
3444,利機,2024/06,26.22
3447,展達,2024/06,165.52
3450,聯鈞,2024/06,33.16
3454,晶睿,2024/06,116.75
3455,由田,2024/06,428.32
3465,進泰電子,2024/06,132.92
3466,德晉,2024/06,134
3467,台灣精材,2024/06,109.29
3479,安勤,2024/06,80.75
3481,群創,2024/06,69.11
3483,力致,2024/06,70.09
3484,崧騰,2024/06,97.62
3485,敘豐,2024/06,297.35
3489,森寶,2024/06,"1,475.92"
3490,單井,2024/06,123.68
3491,昇達科,2024/06,62.91
3492,長盛,2024/06,98.82
3494,誠研,2024/06,117.86
3498,陽程,2024/06,343.03
3499,環天科,2024/06,246.2
3501,維熹,2024/06,145.63
3504,揚明光,2024/06,70.61
3507,力群,2024/06,158.18
3508,位速,2024/06,68.44
3511,矽瑪,2024/06,87.26
3512,皇龍,2024/06,"1,427.95"
3515,華擎,2024/06,171.64
3516,亞帝歐,2024/06,58.72
3518,柏騰,2024/06,27.41
3520,華盈,2024/06,72.07
3521,鴻翊,2024/06,595.34
3522,御頂,2024/06,18.08
3523,迎輝,2024/06,53.62
3526,凡甲,2024/06,50.26
3527,聚積,2024/06,148.77
3528,安馳,2024/06,277.11
3529,力旺,2024/06,-888
3530,晶相光,2024/06,356.13
3531,先益,2024/06,104.72
3532,台勝科,2024/06,135.72
3533,嘉澤,2024/06,77.48
3535,晶彩科,2024/06,131.07
3537,堡達,2024/06,50.5
3540,曜越,2024/06,228.48
3541,西柏,2024/06,262.08
3543,州巧,2024/06,30.86
3545,敦泰,2024/06,100.47
3546,宇峻,2024/06,0
3548,兆利,2024/06,39.17
3550,聯穎,2024/06,39.43
3551,世禾,2024/06,29.31
3552,同致,2024/06,76.9
3555,博士旺,2024/06,48.75
3556,禾瑞亞,2024/06,403.12
3557,嘉威,2024/06,70.82
3558,神準,2024/06,102.2
3563,牧德,2024/06,189.43
3564,其陽,2024/06,166.63
3567,逸昌,2024/06,0
3570,大塚,2024/06,44.71
3572,宏芯,2024/06,168.91
3576,聯合再生,2024/06,93.84
3577,泓格,2024/06,465.4
3580,友威科,2024/06,180.64
3581,博磊,2024/06,201.62
3583,辛耘,2024/06,555.99
3585,聯致,2024/06,68.12
3587,閎康,2024/06,0
